ingredient,function,form,id_test,assay,type,sort_name
( ) Carveol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Carveol
(Ã�) Carvone,Flavoring Agent,Colorless To Pale Strawberry Colored Liquid,Infrared spectra,Procedure,pending,Carvone
(Ã�) Carvyl Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Carvylacetate
Beta Caryophyllene,Flavoring Agent,"Colorless To Slightly Yellow, Oily Liquid",Infrared spectra,Procedure,pending,Caryophyllene
Cascarilla Oil,Flavoring Agent,Light Yellow To Brown Amber Liquid,Infrared spectra,None,high_suscept,Cascarillaoil
Casein And Caseinate Salts,"Binder, Clarifying Agent, Emulsifier, Extender, Stabilizer",Off White To Cream Colored Granular Or Fine Powder,None,Protein,high_suscept,Caseinandcaseinatesalts
Cassia Oil,Flavoring Agent,Yellow Or Brown Liquid,Infrared spectra,Aldehydes,high_suscept_id,Cassiaoil
Castor Oil,"Antisticking Agent, Component Of Protective Coatings, Release Agent","Pale Yellow Or Almost Colorless, Transparent, Viscous Liquid",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Castoroil
Cedar Leaf Oil,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Ketones,high_suscept_id,Cedarleafoil
Celery Seed Oil,Flavoring Agent,Yellow To Green Brown Liquid,Infrared spectra,None,high_suscept,Celeryseedoil
Cellulose Gel,"Anticaking Agent, Binding Agent, Dispersing Agent","Fine, White Or Almost White Powder; May Be Compressed Into Self Binding Tablets",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Cellulosegel
Cellulose Gum,"Stabilizer, Thickener",White To Cream Colored Powder Or Granules,All ID tests listed in monograph,All assays listed in monograph,high_suscept,Cellulosegum
"Cellulose, Powdered","Anticaking Agent, Binding Agent, Bulking Agent, Dispersing Agent, Filter Aid, Texturizing Agent, Thickening Agent","White Substance, Fibrous Particles That May Be Compressed Into Self Binding Tablets",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Cellulosepowdered
"Chamomile Oil, English Type",Flavoring Agent,Light Blue Or Light Green Blue Liquid,Infrared spectra,None,high_suscept_id,Chamomileoilenglishtype
"Chamomile Oil, German Type",Flavoring Agent,Deep Blue Or Blue Green Liquid,Infrared spectra,None,high_suscept,Chamomileoilgermantype
Chlorine,"Antimicrobial Agent, Bleaching Agent, Oxidizing Agent","Green Yellow Gas, Packaged As A Liquid Under Pressure",Chloride,Procedure,low_suscept,Chlorine
Cholic Acid,Emulsifier,Colorless Plates Or White Crystalline Powder,Procedure,Procedure,high_suscept_id,Cholicacid
Choline Bitartrate,Nutrient,"White, Hygroscopic, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Cholinebitartrate
Choline Chloride,Nutrient,"Colorless Or White Crystals, Or Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Cholinechloride
Cinnamaldehyde,Flavoring Agent,"Yellow, Strongly Refractive Liquid",Infrared spectra,Procedure,pending,Cinnamaldehyde
Cinnamic Acid,Flavoring Agent,White Crystalline Scales,Infrared spectra,Procedure,pending,Cinnamicacid
"Cinnamon Bark Oil, Ceylon Type",Flavoring Agent,Yellow Liquid,Infrared spectra,Aldehydes,pending,Cinnamonbarkoilceylontype
Cinnamon Leaf Oil,Flavoring Agent,Light To Dark Brown Liquid,Infrared spectra,Phenols,pending,Cinnamonleafoil
Cinnamyl Acetate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Cinnamylacetate
Cinnamyl Alcohol,Flavoring Agent,White To Slightly Yellow Crystalline Solid,Infrared spectra,Procedure,pending,Cinnamylalcohol
Cinnamyl Butyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Cinnamylbutyrate
Cinnamyl Cinnamate,Flavoring Agent,Solid,Infrared spectra,Procedure,pending,Cinnamylcinnamate
Cinnamyl Formate,Flavoring Agent,Colorless To Slighty Yellow Liquid,Infrared spectra,Procedure,pending,Cinnamylformate
Cinnamyl Isobutyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Cinnamylisobutyrate
Cinnamyl Isovalerate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Cinnamylisovalerate
Cinnamyl Propionate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Cinnamylpropionate
Citral,Flavoring Agent,Pale Yellow Liquid,Infrared spectra,Procedure,pending,Citral
Citric Acid,"Acidifier, Dispersing Agent, Flavoring Agent, Sequestrant","Colorless, Translucent Crystals Or White, Granular To Fine, Crystalline Powder",Citrate,Procedure,low_suscept,Citricacid
Citronellal,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Citronellal
Citronellol,Flavoring Agent,"Colorless, Oily Liquid",Infrared spectra,Procedure,pending,Citronellol
Citronellyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Citronellylacetate
Citronellyl Butyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Citronellylbutyrate
Citronellyl Formate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Citronellylformate
Citronellyl Isobutyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Citronellylisobutyrate
Citronellyl Propionate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Citronellylpropionate
Clary Oil,Flavoring Agent,Pale Yellow To Yellow Liquid,Infrared spectra,Esters,high_suscept,Claryoil
Clove Leaf Oil,Flavoring Agent,Pale Yellow Liquid,Infrared spectra,Phenols,high_suscept,Cloveleafoil
Clove Oil,Flavoring Agent,Colorless Or Pale Yellow Liquid,Infrared spectra,Phenols,high_suscept,Cloveoil
Clove Stem Oil,Flavoring Agent,Yellow To Light Brown Liquid,Infrared spectra,Phenols,high_suscept,Clovestemoil
Cocoa Butter Substitute,"Coating Agent, Texturizer","White, Waxy Solid",Fatty acid composition,None,high_suscept,Cocoabuttersubstitute
Coconut Oil (Unhydrogenated),"Coating Agent, Emulsifying Agent, Texturizer","Viscous, White To Light Yellow Tan Liquid",Fatty acid composition,None,high_suscept,Coconutoilunhydrogenated
"Cognac Oil, Green",Flavoring Agent,Green To Blue Green Liquid,Infrared spectra,None,high_suscept,Cognacoilgreen
Copaiba Oil,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,None,high_suscept,Copaibaoil
Copovidone,"Binding, Coating For Fresh And Fresh Cut Fruits And Vegetables, Crystallization Inhibitor, Film Forming Agent",White To Yellowish White Powder Or Flakes,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Copovidone
Copper Gluconate,Nutrient,"Fine, Light Blue Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Coppergluconate
Copper Sulfate,Nutrient,"Blue Crystals, Crystalline Granules, Or Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Coppersulfate
Coriander Oil,Flavoring Agent,Colorless Or Pale Yellow Liquid,Infrared spectra,None,high_suscept,Corianderoil
Corn Oil (Unhydrogenated),"Coating Agent, Emulsifying Agent, Texturizer",Amber Colored Oil,Fatty acid composition,None,high_suscept,Cornoilunhydrogenated
Costus Root Oil,Flavoring Agent,Light Yellow To Brown Viscous Liquid,Infrared spectra,None,high_suscept,Costusrootoil
Cottonseed Oil (Unhydrogenated),"Carrier, Coating Agent, Component Of Margarine Or Shortening, Cooking Or Salad Oil, Stabilizer, Tenderizer, Texturizer, Thickener",Dark Red Brown Oil,Fatty acid composition,None,high_suscept,Cottonseedoilunhydrogenated
P Cresyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Cresylacetate
Crospovidone,"Clarifying Agent, Stabilizer","Off White, Hygroscopic, Free Flowing Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Crospovidone
Cubeb Oil,Flavoring Agent,Colorless Or Light Green To Blue Green Liquid,Infrared spectra,None,high_suscept,Cubeboil
Cuminic Aldehyde,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Cuminicaldehyde
Cumin Oil,Flavoring Agent,Light Yellow To Brown Liquid,Infrared spectra,Procedure,high_suscept,Cuminoil
Curdlan,"Firming Agent, Gelling Agent, Stabilizer, Thickener",White To Nearly White Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept,Curdlan
Cyclamen Aldehyde,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Cyclamenaldehyde
Alpha Cyclodextrin,"Carrier, Encapsulating Agent, Stabilizer",White Or Almost White Crystalline Solid,Procedure,Procedure,low_suscept,Cyclodextrin4
Beta Cyclodextrin,"Encapsulating Agent, Stabilizer","White, Fine, Crystalline Solid Or Fine, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Cyclodextrin5
Gamma Cyclodextrin,"Carrier, Emulsifier, Stabilizer",White Or Almost White Crystalline Solid,Infrared spectra,Procedure,low_suscept,Cyclodextrine6
Cyclohexane,Extraction Solvent,"Clear, Colorless, Flammable Liquid",Specific gravity,Procedure,pending,Cyclohexane
Cyclohexyl Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Cyclohexylacetate
P Cymene,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Cymene
L Cysteine Monohydrochloride,Nutrient,"White, Crystalline Powder",Infrared absorption,Procedure,high_suscept_id,Cysteinemonohydrochloride
L Cystine,Nutrient,Colorless To White Crystals,Infrared spectra,Nitrogen determination,pending,Cystine3
5' Cytidylic Acid,Source Of 5' Cytidylic Acid,"Colorless Or White Crystals, Or White Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Cytidylicacid
Dammar Gum,"Glazing Agent, Stabilizer","Irregular, White To Yellow To Brown Tears, Fragments, Or Powder, Sometimes Admixed With Fragments Of Bark",Thin-layer chromatography,None,high_suscept,Dammargum
"(E),(E) 2,4 Decadienal",Flavoring Agent,Yellow Liquid,Infrared spectra,Procedure,pending,Decadienal
Delta Decalactone,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Decalactone
Gamma Decalactone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Decalactone6
Decanal,Flavoring Agent,Colorless To Light Yellow Liquid,Infrared spectra,Procedure,pending,Decanal
Decanoic Acid,"Component In The Manufacture Of Other Food Grade Additives, Defoaming Agent, Flavoring Agent",White Crystals,None,None,high_suscept_id,Decanoicacid
(E) 2 Decenal,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Decenal1
(Z) 4 Decenal,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Decenal2
Decyl Alcohol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Decylalcohol
Dehydroacetic Acid,"Antimicrobial Agent, Preservative","White Or Nearly White, Crystalline Powder",Infrared absorption,Dehydroacetic acid,high_suscept_id,Dehydroaceticacid
Desoxycholic Acid,Emulsifier,"White, Crystalline Powder",Procedure,Procedure,high_suscept_id,Desoxycholicacid
Dexpanthenol,Nutrient,"Clear, Viscous, Somewhat Hygroscopic Liquid",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Dexpanthenol
Dextrin,"Binder, Colloidal Stabilizer, Surface Finishing Agent, Thickener","Free Flowing White, Yellow, Or Brown Powder",Procedure,None,pending,Dextrin
Dextrose,"Humectant, Nutritive Sweetener, Texturizing Agent","White, Crystalline Granules Or Granular Powder",Procedure,Reducing sugars,high_suscept_id,Dextrose
Dha From Algal (Crypthecodinium) Oil,Source Of Dha,Light Yellow To Orange Colored Oil,Fatty acid composition,DHA,high_suscept_id,Dhafromalgalcrypthecodiniumoil
Dha From Algal (Schizochytrium) Oil,Source Of Dha,Light Yellow To Orange Colored Oil,Fatty acid composition,DHA,high_suscept,Dhafromalgalschizochytriumoil
Diacetyl,Flavoring Agent,Yellow To Yellow Green Liquid,Infrared spectra,Procedure,pending,Diacetyl
Diacetyl Tartaric Acid Esters Of Mono And Diglycerides,Emulsifier,"Ranges From Sticky, Viscous Liquid To Fatlike Consistency To Waxy Solid",Procedure,Tartaric acid,pending,Diacetyltartaricacidestersofmono Anddiglycerides
Diacylglycerol Oil,"Coating Agent, Component Of Shortening, Texturizer","Opaque White To Pale Yellow, Usually Viscous Liquid At Room Temperature, And Free From Particulate Matter",Fatty acid composition,Procedure,high_suscept,Diacylglyceroloil
Diatomaceous Earth,Filter Aid In Food Processing,Powder Of Varying Colors,Microscopy,None,high_suscept,Diatomaceousearth
Dibenzyl Ether,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Dibenzylether
"1,2 Di[(1' Ethoxy)Ethoxy]Propane",Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Diethoxyethyoxypropane
Diethyl Malonate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Diethylmalonate
Diethyl Sebacate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared absorption,Procedure,pending,Diethylsebacate
Diethyl Succinate,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Diethylsuccinate
Dihydrocarveol,Flavoring Agent,"Colorless, Oily Liquid",None,Procedure,pending,Dihydrocarveol
(+) Dihydrocarvone,Flavoring Agent,Almost Colorless Liquid,Infrared spectra,Procedure,pending,Dihydrocarvone
Dilauryl Thiodipropionate,Antioxidant,"White, Crystalline Flakes",Solidification point,Procedure,pending,Dilaurylthiodipropionate
"Dill Seed Oil, European Type",Flavoring Agent,Pale Yellow To Light Yellow Liquid,Infrared spectra,Ketones,high_suscept,Dillseedoileuropeantype
"Dill Seed Oil, Indian Type",Flavoring Agent,Light Yellow To Light Brown Liquid,Infrared spectra,Ketones,high_suscept,Dillseedoilindiantype
"Dillweed Oil, American Type",Flavoring Agent,Light Yellow To Yellow Liquid,Infrared spectra,Ketones,high_suscept,Dillweedoilamericantype
Dimethyl Anthranilate,Flavoring Agent,Pale Yellow Liquid With Pale Blue Fluorescence,None,Procedure,pending,Dimethylanthranilate
Dimethyl Benzyl Carbinol,Flavoring Agent,"White Crystalline Solid, Or In Supercooled Form As A Colorless To Pale Yellow Liquid",Infrared spectra,Procedure,pending,Dimethylbenzylcarbinol
Dimethyl Benzyl Carbinyl Acetate,Flavoring Agent,Colorless Liquid That Solidifies At Room Temperature,Infrared spectra,Procedure,pending,Dimethylbenzylcarbinylacetate
Dimethyl Benzyl Carbinyl Butyrate,Flavoring Agent,Almost Colorless Liquid,Infrared spectra,Procedure,pending,Dimethylbenzylcarbinylbutyrate
"3,4 Dimethyl 1,2 Cyclopentandione",Flavoring Agent,Pale Yellow To Orange Crystal,Infrared spectra,Procedure,pending,Dimethylcyclopentandione
Dimethyl Dicarbonate,"Antimicrobial, Preservative","Clear, Colorless Liquid",Infrared spectra,Procedure,high_suscept_id,Dimethyldicarbonate
"2,6 Dimethyl 5 Heptenal",Flavoring Agent,Pale Yellow Liquid,Infrared spectra,Procedure,pending,Dimethylheptenal
"3,7 Dimethyl 1 Octanol",Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Dimethyloctanol
Dimethylpolysiloxane,Defoaming Agent,"Clear, Colorless, Viscous Liquid",Infrared absorption,None,high_suscept,Dimethylpolysiloxane
"2,6 Dimethylpyrazine",Flavoring Agent,"White To Yellow, Lumpy Crystals",Infrared spectra,Procedure,pending,Dimethylpyrazine
"2,5 Dimethylpyrrole",Flavoring Agent,"Colorless To Yellow, Oily Liquid",Infrared spectra,Procedure,pending,Dimethylpyrrole
Dimethyl Succinate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Dimethylsuccinate
Dimethyl Sulfide,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Dimethylsulfide
"2,6 Dimethoxy Phenol",Flavoring Agent,White To Brown Crystal,Infrared spectra,Procedure,pending,Dimethyoxyphenol
Dioctyl Sodium Sulfosuccinate,"Emulsifier, Wetting Agent","White, Waxlike, Plastic Solid",Infrared absorption,Procedure,high_suscept,Dioctylsodiumsulfosuccinate
Diphenyl Ether,Flavoring Agent,Colorless To White To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Diphenylether
Disodium Edta,"Preservative, Sequestrant, Stabilizer","White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Disodiumedta
Disodium Guanylate,Flavor Enhancer,"Colorless Or White Crystals, Or White Crystalline Powder",Ultraviolet absorption spectrum,Procedure,high_suscept_id,Disodiumguanylate
Disodium Inosinate,Flavor Enhancer,Colorless Or White Crystals Or White Crystalline Powder,Ultraviolet absorption spectrum,Procedure,low_suscept,Disodiuminosinate
Disodium 5' Uridylate,Source Of Disodium 5' Uridylate,Colorless Or White Crystals,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Disodiumuridylate
Delta Dodecalactone,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Procedure,pending,Dodecalactone
Gamma Dodecalactone,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Dodecalactone6
(E) 2 Dodecen 1 Al,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Dodecenal
Enzyme Modified Fats,Flavoring Agent,"Light To Medium Tan Liquid, Paste Or Powder",Procedure,None,high_suscept,Enzymemodifiedfats
Enzyme Preparations,Enzyme,See Monograph,Classification,Procedure,pending,Enzymepreparations
Erythorbic Acid,"Antioxidant, Preservative",White Or Slighty Yellow Crystals Or Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Erythorbicacid
Erythritol,"Flavor Enhancer, Humectant, Nutritive Sweetener, Stabilizer, Texturizing Agent",White Crystals,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Erythritol
Erythrosine,Color,Brown Powder Or Granules,Procedure,Total color,high_suscept_id,Erythrosine
Estragole,Flavoring Agent,Colorless To Light Yellow Liquid,Infrared spectra,Procedure,pending,Estragole
Ethone,Flavoring Agent,"White To Pale Yellow, Crystalline Solid",Infrared spectra,Procedure,pending,Ethone
Ethoxylated Mono And Diglycerides,"Dough Conditioner, Emulsifier","Pale, Slightly Yellow Colored, Oily Liquid Or Semigel",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Ethoxylatedmonoanddiglycerides
Ethoxyquin,Antioxidant,Clear Yellow To Red Liquid That May Darken With Age,Procedure,Procedure,high_suscept,Ethoxyquin
Ethyl Acetate,Flavoring Agent,Colorless Liquid,Infrared absorption,Procedure,pending,Ethylacetate
Ethyl Acetoacetate,Flavoring Agent,"Colorless To Very Light Yellow, Mobile Liquid",Infrared spectra,Procedure,pending,Ethylacetoacetate
Ethyl Acrylate,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Ethylacrylate
Ethyl Alcohol,"Carrier Solvent, Extraction Solvent","Clear, Colorless Mobile Liquid",None,Specific gravity,high_suscept_id,Ethylalcohol
Ethyl P Anisate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Ethylanisate
Ethyl Anthranilate,Flavoring Agent,Colorless To Amber Colored Liquid,Infrared spectra,Procedure,pending,Ethylanthranilate
Ethyl Benzoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylbenzoate
Ethyl Benzoyl Acetate,Flavoring Agent,Colorless To Light Yellow Liquid,None,Procedure,pending,Ethylbenzoylacetate
Ethyl (E) 2 Butenoate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylbutenoate
2 Ethylbutyraldehyde,Flavoring Agent,"Colorless, Mobile Liquid",None,Procedure,pending,Ethylbutyraldehyde
Ethyl Butyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylbutyrate
2 Ethylbutyric Acid,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylbutyricacid
Ethyl Cellulose,"Binder, Filler, Protective Coating",Free Flowing White To Light Tan Powder,Procedure,Procedure,high_suscept,Ethylcellulose
Ethyl Cinnamate,Flavoring Agent,"Colorless, Oily Liquid",Infrared spectra,Procedure,pending,Ethylcinnamate
Ethyl Decanoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethyldecanoate
"2 Ethyl 3,5(6) Dimethylpyrazine",Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Ethyldimethylpyrazine
Ethylene Brassylate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylenebrassylate
Ethylene Dichloride,Extraction Solvent,"Clear, Colorless, Flammable Oily Liquid",None,None,high_suscept_id,Ethylenedichloride
2 Ethyl Fenchol,Flavoring Agent,Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylfenchol
Ethyl Formate,Flavoring Agent,Colorless Liquid,Infrared absorption,Procedure,pending,Ethylformate
4 Ethyl Guaiacol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylguaiacol
Ethyl Heptanoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylheptanoate
Ethyl Hexanoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylhexanoate
2 Ethyl Hexanol,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Ethylhexanol
5 Ethyl 3 Hydroxy 4 Methyl 2(5 H) Furanone,Flavoring Agent,Pale Yellow To Yellow Liquid,Infrared spectra,Procedure,pending,Ethylhydroxymethylfuranone
Ethyl Isobutyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylisobutyrate
Ethyl Isovalerate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylisovalerate
Ethyl Lactate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethyllactate
Ethyl Laurate,Flavoring Agent,"Colorless, Oily Liquid",Infrared absorption,Procedure,pending,Ethyllaurate
Ethyl Levulinate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethyllevulinate
Ethyl Maltol,Flavoring Agent,"White, Crystalline Powder",Infrared absorption,Procedure,pending,Ethylmaltol
Ethyl 2 Methylbutyrate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Ethylmethylbutyrate
Ethyl 2 Methylpentanoate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylmethylpentanoate
Ethyl Methylphenylglycidate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylmethylphenylglycidate
2 Ethyl 3 Methylpyrazine,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Ethylmethylpyrazine
Ethyl 3 Methylthiopropionate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylmethylthiopropionate
Ethyl Myristate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ethylmyristate
Ethyl Nonanoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylnonanoate
Ethyl Octanoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethyloctanoate
Ethyl Oleate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,None,pending,Ethyloleate
Ethyl Oxyhydrate (So Called),Flavoring Agent,Colorless Liquid,None,None,pending,Ethyloxyhydrate
Ethyl Phenylacetate,Flavoring Agent,Colorless Or Nearly Colorless Liquid,Infrared spectra,Procedure,pending,Ethylphenylacetate
Ethyl Phenylglycidate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Ethylphenylglycidate
Ethyl Propionate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylpropionate
3 Ethyl Pyridine,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Procedure,pending,Ethylpyridine
Ethyl Salicylate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Ethylsalicylate
Ethyl 10 Undecenoate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Ethylundecenoate
Ethyl Valerate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Ethylvalerate
Ethyl Vanillin,Flavoring Agent,Fine White Or Slightly Yellow Crystalline Powder,Infrared absorption,Procedure,pending,Ethylvanillin
Eucalyptol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Eucalyptol
Eucalyptus Oil,Flavoring Agent,Colorless Or Pale Yellow Liquid,Infrared spectra,Cineole,high_suscept,Eucalyptusoil
Eugenol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared absorption,Procedure,pending,Eugenol
Eugenyl Acetate,Flavoring Agent,Fused Solid That Melts At Warm Room Temperature To A Pale Yellow Liquid,Infrared spectra,Procedure,pending,Eugenylacetate
Farnesol,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Farnesol
Fast Green,Color,Red To Brown Violet Powder Or Granules,Procedure,Total color,high_suscept_id,Fastgreen
Fd&C Blue No. 1,Color,See Monograph,Visible absorption spectrum,Total color,high_suscept_id,Fdcblueno1
Fd&C Blue No. 2,Color,See Monograph,Visible absorption spectrum,Total color,high_suscept_id,Fdcblueno2
Fd&C Green No. 3,Color,See Monograph,Visible absorption spectrum,Total color,high_suscept,Fdcgreenno3
Fd&C Red No. 3,Color,See Monograph,Visible absorption spectrum,Total color,high_suscept_id,Fdcredno3
Fd&C Red No. 40,Color,See Monograph,Visible absorption spectrum,Total color,high_suscept_id,Fdcredno40
Fd&C Yellow No. 5,Color,See Monograph,Visible absorption spectrum,Total color,pending,Fdcyellowno5
Fd&C Yellow No. 6,Color,See Monograph,Visible absorption spectrum,Total color,high_suscept_id,Fdcyellowno6
(+) Fenchone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Fenchone
Fenchyl Alcohol,Flavoring Agent,White To Pale Yellow Crystalline Solid,Infrared spectra,Procedure,pending,Fenchylalcohol
Fennel Oil,Flavoring Agent,Colorless Or Pale Yellow Liquid,Infrared spectra,None,high_suscept,Fenneloil
"Ferric Ammonium Citrate, Brown",Nutrient,"Thin, Transparent Brown, Red Brown, Or Garnet Red Scales Or Granules, Or As A Brown Yellow Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ferricammoniumcitratebrown
"Ferric Ammonium Citrate, Green","Anticaking Agent For Sodium Chloride, Nutrient","Thin, Transparent Green Scales, As Granules, As A Powder, Or As Transparent Green Crystals",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Ferricammoniumcitrategreen
Ferric Citrate,Nutrient,"Brown Granules Or Thin, Transparent, Garnet Red Scales",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ferriccitrate
Ferric Phosphate,Nutrient,"Crystalline Or Amorphous Material In Shades Of Yellow, White, Purple Or Pink",Procedure,Procedure,high_suscept_id,Ferricphosphate
Ferric Pyrophosphate,Nutrient,Tan Or Yellow White Powder,Procedure,Procedure,high_suscept_id,Ferricpyrophosphate
Ferrous Citrate,Nutrient,Slightly Gray Green Powder Or As White Crystals,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ferrouscitrate
Ferrous Fumarate,Nutrient,Red Orange To Red Brown Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Ferrousfumarate
