classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
alert,22/08/2006,15/01/2015,2006.0523,Austria,food,fruits and vegetables,"high content of cyanide (780 mg/kg - ppm) in bitter apricot kernels from Turkey, via Germany",co,cyanide,780 mg/kg - ppm,bitter apricot kernels,"Turkey, via Germany"
alert,22/08/2006,15/01/2015,2006.0522,Austria,food,fruits and vegetables,"high content of cyanide (920 mg/kg - ppm) in apricot kernels from Pakistan, via Germany",co,cyanide,920 mg/kg - ppm,apricot kernels,"Pakistan, via Germany"
alert,22/08/2006,15/01/2015,2006.0521,Austria,food,fruits and vegetables,"high content of cyanide (940 mg/kg - ppm) in organic bitter apricot kernels from China, via Germany",co,cyanide,940 mg/kg - ppm,organic bitter apricot kernels,"China, via Germany"
alert,22/08/2006,15/01/2015,2006.0520,Austria,food,fruits and vegetables,"high content of cyanide (830 mg/kg - ppm) in organic bitter apricot kernels from Uzbekistan, via Germany and via Austria",co,cyanide,830 mg/kg - ppm,organic bitter apricot kernels,"Uzbekistan, via Germany and via Austria"
alert,22/08/2006,15/01/2015,2006.0519,Austria,food,fruits and vegetables,"high content of cyanide (410-450 mg/kg - ppm) in organic bitter apricot kernels from Uzbekistan, via Germany and via Austria",co,cyanide,410-450 mg/kg - ppm,organic bitter apricot kernels,"Uzbekistan, via Germany and via Austria"
alert,21/08/2006,,2006.0515,Germany,food,fish and fish products,carbon monoxide treatment (0.45 mg/kg - ppm) of frozen tuna fillets from the Netherlands,co,,0.45 mg/kg - ppm,frozen tuna fillets,the Netherlands
information,18/08/2006,,2006.BXI,United Kingdom,food,"nuts, nut products and seeds",unauthorised food additive TBHQ - tertiary butylhydroquinone (stated in ingredients listing) in mixed nuts from the Philippines,co,food additive TBHQ - tertiary butylhydroquinone,stated,ingredients listing) in mixed nuts,the Philippines
alert,17/08/2006,,2006.0509,Germany,food,fruits and vegetables,high content of iodine (47 mg/kg - ppm) in roasted sea weed from China via the Netherlands,co,iodine,47 mg/kg - ppm,roasted sea weed,China via the Netherlands
information,16/08/2006,15/01/2015,2006.BWY,Germany,food,fruits and vegetables,high content of cyanide (2108 mg/kg - ppm) in bitter apricot kernels from Turkey,co,cyanide,2108 mg/kg - ppm,bitter apricot kernels,Turkey
alert,14/08/2006,,2006.0503,Germany,food,herbs and spices,unauthorised colours Sudan 1 (5 mg/kg - ppm) and Sudan 4 (2 mg/kg - ppm) in chicken spices from Turkey,co,colour Sudan 1,5 mg/kg - ppm,chicken spices,Turkey
alert,10/08/2006,,2006.0499,Germany,food,fruits and vegetables,high content of iodine (507 mg/kg - ppm) in dried sea weed from Japan,co,iodine,507 mg/kg - ppm,dried sea weed,Japan
alert,09/08/2006,,2006.0494,Germany,food,fruits and vegetables,high content of iodine (3.17 g/kg) in dried sea weed from China via the Netherlands,co,iodine,3.17 g/kg,dried sea weed,China via the Netherlands
alert,07/08/2006,,2006.0486,United Kingdom,food,fish and fish products,carbon monoxide treatment (visual inspection) of tuna loins from the Netherlands,co,,visual inspection,tuna loins,the Netherlands
alert,20/07/2006,,2006.0451,Germany,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market (75% Senna leaves) of Senna herbal infusion from Thailand via the Netherlands,co,,75% Senna leaves,unauthorised placing on the market (75% senna leaves) of senna herbal infusion,Thailand via the Netherlands
information,19/07/2006,,2006.BQR,Italy,food,"dietetic foods, food supplements, fortified foods",benzethonium chloride (19.6 %) in liquid grapefruit seed extract from the United States,co,benzethonium chloride,19.6 %,liquid grapefruit seed extract,the United States
alert,18/07/2006,,2006.0445,Italy,food,"dietetic foods, food supplements, fortified foods",unauthorised herbs in food supplement from Belgium,co,herbs,,food supplement,Belgium
alert,18/07/2006,,2006.0444,Italy,food,"dietetic foods, food supplements, fortified foods",unauthorised herbs in food supplement from Belgium,co,herbs,,food supplement,Belgium
information,14/07/2006,,2006.BPS,United Kingdom,food,herbs and spices,unauthorised colour Sudan 1 (>7 mg/kg - ppm) in red chilli powder from Pakistan,co,colour Sudan 1,>7 mg/kg - ppm,red chilli powder,Pakistan
information,06/07/2006,15/04/2008,2006.BOE,Spain,food,fish and fish products,carbon monoxide treatment of frozen shortfin mako (Isurus oxyrinchus) from Spain,co,,Isurus oxyrinchus,frozen shortfin mako (isurus oxyrinchus),Spain
alert,05/07/2006,,2006.0428,Commission Services,food,"dietetic foods, food supplements, fortified foods",bacterial contamination of unauthorised food supplement from the United States via Canada,co,bacterial contamination of food supplement,,bacterial contamination of unauthorised food supplement,the United States via Canada
alert,28/06/2006,,2006.0410,Italy,food,"dietetic foods, food supplements, fortified foods",unauthorised herbs (presence) in food supplements from India,co,herbs,presence,food supplement,India
information,26/06/2006,,2006.BLO,Italy,food,"dietetic foods, food supplements, fortified foods",benzethonium chloride (19.5; 20.0; 19.7; 19.5; 20.7: 19.3 g/100g) in dried and liquid grapefruit extract from the United States,co,benzethonium chloride,19.5; 20.0; 19.7; 19.5; 20.7: 19.3 g/100g,dried and liquid grapefruit extract,the United States
information,23/06/2006,19/06/2008,2006.BLG,Spain,food,fish and fish products,carbon monoxide treatment of frozen tuna loins (Thunnus albacares) from Senegal,co,,Thunnus albacares,tuna,Senegal
alert,08/06/2006,,2006.0365,Germany,food,fruits and vegetables,high content of iodine (3.6 g/kg) in dried sea algae from China via the Netherlands,co,iodine,3.6 g/kg,dried sea algae,China via the Netherlands
alert,07/06/2006,,2006.0364,Italy,food,"dietetic foods, food supplements, fortified foods",benzethonium chloride in dried extracts of grapefruit seeds from the United States,co,benzethonium chloride,,dried extracts of grapefruit seeds,the United States
alert,06/06/2006,,2006.0352,Belgium,food,water for human consumption (other),arsenic (24.7; 26.7 µg/l) and too high content of nitrate (130; 133.6 mg/l) in bottled water from Saudi Arabia,co,arsenic,24.7; 26.7 µg/l,bottled water,Saudi Arabia
information,02/06/2006,,2006.BGY,Italy,food,fish and fish products,carbon monoxide treatment (visual inspection) of frozen tuna chunks from Vietnam via the Netherlands,co,,visual inspection,frozen tuna chunks,Vietnam via the Netherlands
information,01/06/2006,,2006.BGU,France,food,herbs and spices,unauthorised colour Sudan 1 (7 mg/kg - ppm) in red pepper from Lebanon,co,colour Sudan 1,7 mg/kg - ppm,red pepper,Lebanon
alert,30/05/2006,04/07/2014,2006.0344,Italy,food,fish and fish products,"carbon monoxide treatment (presence) of frozen yellowfin tuna steaks from Thailand, via the Netherlands",co,,presence,frozen yellowfin tuna steaks,"Thailand, via the Netherlands"
alert,30/05/2006,,2006.0345,Italy,food,fish and fish products,carbon monoxide treatment (presence) of frozen swordfish chunks from Vietnam via the Netherlands,co,,presence,frozen swordfish chunks,Vietnam via the Netherlands
alert,29/05/2006,29/03/2010,2006.0337,Austria,food,herbs and spices,unauthorised placing on the market of scented sliced betel nuts from the United Kingdom and India,co,,,scented sliced betel nut,the United Kingdom and India
alert,29/05/2006,29/03/2010,2006.0335,Austria,food,herbs and spices,"unauthorised placing on the market of and unauthorised use of colour E 102 - tartrazine, of colour E 110 - Sunset Yellow FCF, of colour E 122 - azorubine and of colour E 124 - Ponceau 4R / cochineal red A in spice mixture from the United Kingdom and India",co,,,spices,the United Kingdom and India
alert,29/05/2006,26/03/2010,2006.0336,Austria,food,herbs and spices,unauthorised placing on the market of unroasted pieces of betel nut from the United Kingdom,co,,,betel nut,the United Kingdom
information,29/05/2006,,2006.BGG,France,food,herbs and spices,unauthorised colours Sudan 1 (174 mg/kg - ppm) and methyl yellow (44 mg/kg - ppm) in curry powder from unknown origin,co,colour Sudan 1,174 mg/kg - ppm,curry powder,unknown origin
information,29/05/2006,,2006.BGF,France,food,fats and oils,unauthorised colour Sudan 4 (6.06 mg/kg - ppm) in palm oil from Togo,co,colour Sudan 4,6.06 mg/kg - ppm,palm oil,Togo
information,29/05/2006,,2006.BGC,Italy,food,fish and fish products,carbon monoxide treatment (94 µg/kg - ppb) of swordfish (Xiphias gladius) from Spain,co,,94 µg/kg - ppb,swordfish,Spain
information,29/05/2006,,2006.BFW,Cyprus,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (active compound of Viagra - 46.9 mg) in food supplement from the United States,co,sildenafil,active compound of Viagra - 46.9 mg,food supplement,the United States
alert,29/05/2006,,2006.0342,Italy,food,fish and fish products,carbon monoxide treatment (presence) of frozen vacuum packed slice of tuna (Thunnus albacares) from Vietnam via the Netherlands,co,,presence,tuna (thunnus albacares),Vietnam via the Netherlands
alert,29/05/2006,,2006.0341,Germany,food,natural mineral water,too high content of nitrite (1.23 mg/l) in still natural mineral water from Germany,co,nitrite,1.23 mg/l,still natural mineral water,Germany
alert,19/05/2006,,2006.0323,Germany,food,fish and fish products,carbon monoxide treatment (1341; 903 µg/kg - ppb) of tuna (Thunnus albacares) from Thailand via the Netherlands,co,,1341; 903 µg/kg - ppb,tuna (thunnus albacares),Thailand via the Netherlands
alert,17/05/2006,,2006.0319,Italy,food,fish and fish products,carbon monoxide treatment (positive) of frozen and vacuum packed chunks of tuna from Vietnam via the Netherlands,co,,positive,tuna,Vietnam via the Netherlands
alert,15/05/2006,,2006.0317,Germany,food,fish and fish products,carbon monoxide treatment (1050 µg/kg - ppb) of tuna from Thailand via the Netherlands,co,,1050 µg/kg - ppb,tuna,Thailand via the Netherlands
information,12/05/2006,,2006.BDT,Czech Republic,food,fats and oils,unauthorised food additive TBHQ - tertiary butylhydroquinone (76.3 mg/kg - ppm) in palm based shortening from Malaysia,co,food additive TBHQ - tertiary butylhydroquinone,76.3 mg/kg - ppm,palm based shortening,Malaysia
alert,10/05/2006,,2006.0306,Germany,food,herbs and spices,unauthorised colours Sudan 1 (7 mg/kg - ppm) and Sudan 4 (1 mg/kg - ppm) in hot paprika powder from Turkey,co,colour Sudan 1,7 mg/kg - ppm,hot paprika powder,Turkey
alert,08/05/2006,,2006.0295,Spain,food,fish and fish products,carbon monoxide treatment (presence) of frozen tuna loins from Vietnam via the Netherlands,co,,presence,frozen tuna loins,Vietnam via the Netherlands
information,03/05/2006,,2006.BCA,Germany,food,cereals and bakery products,unauthorised colour Rhodamine B (presence) in coconut flavoured biscuits from Vietnam,co,colour Rhodamine B,presence,coconut flavoured biscuits,Vietnam
alert,02/05/2006,15/01/2015,2006.0284,Austria,food,fruits and vegetables,"high content of cyanide (540 mg/kg - ppm) in organic bitter apricot kernels from Uzbekistan, via Germany",co,cyanide,540 mg/kg - ppm,organic bitter apricot kernels,"Uzbekistan, via Germany"
alert,02/05/2006,,2006.0282,Italy,food,fish and fish products,carbon monoxide treatment (visual inspection) of swordfish loins from Indonesia via the Netherlands,co,,visual inspection,swordfish,Indonesia via the Netherlands
alert,02/05/2006,,2006.0281,Germany,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market (> 25% Senna leaves) of herbal slimming tea containing Senna Leaves from Turkey via the Netherlands,co,,> 25% Senna leaves,unauthorised placing on the market (> 25% senna leaves) of herbal slimming tea containing senna leaves,Turkey via the Netherlands
information,21/04/2006,,2006.BAS,Germany,food,herbs and spices,unauthorised colour Rhodamine B (2 mg/kg - ppm) in mixed spices with chilli from China,co,colour Rhodamine B,2 mg/kg - ppm,mixed spices with chilli,China
alert,13/04/2006,24/02/2014,2006.0260,Italy,food,"dietetic foods, food supplements, fortified foods",unauthorised substance lithium in food supplement from Malta,co,lithium,,food supplement,Malta
alert,13/04/2006,,2006.0258,Italy,food,fish and fish products,carbon monoxide treatment (presence) of frozen vacuum packed slices of tuna (Thunnus albacares) from Vietnam via the Netherlands,co,,presence,tuna (thunnus albacares),Vietnam via the Netherlands
information,12/04/2006,,2006.AYO,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (13 mg/kg - ppm) in palm oil from Nigeria,co,colour Sudan 4,13 mg/kg - ppm,palm oil,Nigeria
alert,11/04/2006,,2006.0244,Germany,food,herbs and spices,unauthorised colours Sudan 1 (14; 19 mg/kg - ppm) and Sudan 4 (4; 4 mg/kg - ppm) in spice mixtures from Turkey,co,colour Sudan 1,14; 19 mg/kg - ppm,spices,Turkey
alert,10/04/2006,,2006.0239,Germany,food,herbs and spices,unauthorised colours Sudan 1 (1.5 mg/kg - ppm) and Sudan 4 (0.45 mg/kg - ppm) in chilli powder from Belgium,co,colour Sudan 1,1.5 mg/kg - ppm,chilli powder,Belgium
information,07/04/2006,,2006.AXM,United Kingdom,food,"soups, broths, sauces and condiments",unauthorised colour Orange II (27 mg/kg - ppm) in Nigerian pepper soup mix from Nigeria,co,colour Orange II,27 mg/kg - ppm,nigerian pepper soup mix,Nigeria
information,05/04/2006,,2006.AWZ,Germany,food,herbs and spices,unauthorised colours Sudan 1 (0.56 mg/kg - ppm) and Sudan 4 (0.42 mg/kg - ppm) in turmeric from Pakistan,co,colour Sudan 1,0.56 mg/kg - ppm,turmeric,Pakistan
information,05/04/2006,,2006.AWY,Germany,food,herbs and spices,unauthorised colours Sudan 1 (0.46 mg/kg - ppm) and Sudan 4 (0.33 mg/kg - ppm) in turmeric from Pakistan,co,colour Sudan 1,0.46 mg/kg - ppm,turmeric,Pakistan
alert,05/04/2006,,2006.0226,Germany,food,fish and fish products,carbon monoxide treatment (1923 µg/kg - ppb) of deep-frozen tuna from Vietnam via the Netherlands and via Belgium,co,,1923 µg/kg - ppb,deep-frozen tuna,Vietnam via the Netherlands and via Belgium
information,24/03/2006,,2006.ATM,Germany,food,fruits and vegetables,high content of iodine (159; 153 mg/kg - ppm) in dried seaweed from Japan,co,iodine,159; 153 mg/kg - ppm,dried seaweed,Japan
alert,24/03/2006,,2006.0205,Denmark,food,fish and fish products,carbon monoxide treatment of tuna chunks from the United Arab Emirates via the Netherlands,co,,,tuna chunks,the United Arab Emirates via the Netherlands
information,22/03/2006,,2006.AST,Germany,food,herbs and spices,unauthorised colour Sudan 1 (0.3 mg/kg - ppm) in spice mixture for carrot salad Korean way from the Russian Federation,co,colour Sudan 1,0.3 mg/kg - ppm,spice mixture for carrot salad korean way,the Russian Federation
alert,22/03/2006,,2006.0197,Italy,food,fish and fish products,carbon monoxide treatment (visual inspection) of fresh tuna loins (Thunnus thynnus) from Spain,co,,visual inspection,fresh tuna loin (thunnus thynnus),Spain
alert,22/03/2006,,2006.0192,Germany,food,herbs and spices,unauthorised colour Sudan 4 (0.4 mg/kg - ppm) in hot madras curry powder from India via the United Kingdom,co,colour Sudan 4,0.4 mg/kg - ppm,hot madras curry powder,India via the United Kingdom
alert,22/03/2006,,2006.0191,Germany,food,herbs and spices,unauthorised colour Sudan 4 (0.3 mg/kg - ppm) in mild madras curry powder from India via the United Kingdom,co,colour Sudan 4,0.3 mg/kg - ppm,mild madras curry powder,India via the United Kingdom
information,21/03/2006,,2006.ASN,Italy,food,"soups, broths, sauces and condiments",unauthorised colours Sudan 1 (205 µg/kg - ppb) and Sudan 4 (15 µg/kg - ppb) in aubergine sauces with hot chilli pepper from Romania,co,colour Sudan 1,205 µg/kg - ppb,aubergine sauce with hot chilli pepper,Romania
information,15/03/2006,,2006.ARW,Denmark,food,"soups, broths, sauces and condiments",unauthorised animal ingredients in instant tripe soup from Turkey,co,animal ingredients,,instant tripe soup,Turkey
alert,15/03/2006,,2006.0180,Germany,food,herbs and spices,unauthorised colours Sudan 1 (96 mg/kg - ppm) and Para Red (32 mg/kg - ppm) in spices for Georgian cooking from the Russian Federation,co,colour Sudan 1,96 mg/kg - ppm,spices for georgian cooking,the Russian Federation
information,14/03/2006,,2006.ARN,Germany,food,herbs and spices,unauthorised colours Para Red (17 mg/kg - ppm) and toluidine red (179 mg/kg - ppm) in grill spices from the Russian Federation,co,colour Para Red,17 mg/kg - ppm,grill spices,the Russian Federation
alert,10/03/2006,,2006.0168,Italy,food,"dietetic foods, food supplements, fortified foods",too low content of nutrients in baby milk from France,co,too low content of nutrients,,baby milk,France
information,08/03/2006,08/03/2010,2006.AQX,Greece,food,herbs and spices,unauthorised colour Sudan 1 (599 mg/kg - ppm) in cayenne pepper from the Former Yugoslav Republic of Macedonia,co,colour Sudan 1,599 mg/kg - ppm,cayenne pepper,the Former Yugoslav Republic of Macedonia
information,08/03/2006,08/03/2010,2006.AQW,Greece,food,herbs and spices,unauthorised colour Sudan 1 (315 mg/kg - ppm) in cayenne pepper from the Former Yugoslav Republic of Macedonia,co,colour Sudan 1,315 mg/kg - ppm,cayenne pepper,the Former Yugoslav Republic of Macedonia
information,08/03/2006,08/03/2010,2006.AQV,Greece,food,herbs and spices,unauthorised colour Sudan 1 (89 mg/kg - ppm) in cayenne pepper from the Former Yugoslav Republic of Macedonia,co,colour Sudan 1,89 mg/kg - ppm,cayenne pepper,the Former Yugoslav Republic of Macedonia
information,07/03/2006,,2006.AQR,Greece,food,herbs and spices,unauthorised colour Sudan 1 (461 mg/kg - ppm) in cayenne pepper from the Former Yugoslav Republic of Macedonia,co,colour Sudan 1,461 mg/kg - ppm,cayenne pepper,the Former Yugoslav Republic of Macedonia
alert,06/03/2006,,2006.0153,Italy,food,fish and fish products,carbon monoxide treatment (525 µg/kg - ppb) of frozen tuna (Thunnus albacares) from Thailand via the Netherlands,co,,525 µg/kg - ppb,frozen tuna (thunnus albacares),Thailand via the Netherlands
alert,06/03/2006,,2006.0152,Germany,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market (50% of Senna leaves) of herbal tea containing Senna leaves from Turkey via the Netherlands,co,,50% of Senna leaves,unauthorised placing on the market (50% of senna leaves) of herbal tea containing senna leaves,Turkey via the Netherlands
information,28/02/2006,,2006.AOL,United Kingdom,food,herbs and spices,unauthorised colour Orange II (427 mg/kg - ppm) in ground red chilli from Nigeria,co,colour Orange II,427 mg/kg - ppm,ground red chilli,Nigeria
alert,27/02/2006,,2006.0145,Belgium,food,"dietetic foods, food supplements, fortified foods",unauthorised substance yohimbine (presence) in food supplement from the United States,co,yohimbine,presence,food supplement,the United States
alert,27/02/2006,,2006.0142,Spain,food,fish and fish products,carbon monoxide treatment of chilled vacuum packed tuna loins (Thunnus albacares) from Panama via the Netherlands,co,,Thunnus albacares,chilled vacuum packed tuna loins (thunnus albacares),Panama via the Netherlands
alert,27/02/2006,,2006.0141,Austria,food,fats and oils,unauthorised colour Sudan 4 (8.4 mg/kg - ppm) in pure zomi palm oil from Ghana via the United Kingdom,co,colour Sudan 4,8.4 mg/kg - ppm,pure zomi palm oil,Ghana via the United Kingdom
information,24/02/2006,06/12/2011,2006.ANV,United Kingdom,food,"soups, broths, sauces and condiments",too high content of erucic acid (28.2 of fatty acid content %) in hot pepper sauce from China,co,erucic acid,28.2 of fatty acid content %,hot pepper sauce,China
information,21/02/2006,,2006.AMS,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (19 mg/kg - ppm) in palm oil from Nigeria,co,colour Sudan 4,19 mg/kg - ppm,palm oil,Nigeria
information,20/02/2006,,2006.AMA,Italy,food,"soups, broths, sauces and condiments",unauthorised colour Sudan 3 (0.665 mg/kg - ppm) in hot sauce from China,co,colour Sudan 3,0.665 mg/kg - ppm,hot sauce,China
alert,20/02/2006,,2006.0130,Denmark,food,fish and fish products,carbon monoxide treatment (visual inspection) of frozen tuna chunks from Vietnam via Sweden and via the Netherlands,co,,visual inspection,frozen tuna chunks,Vietnam via Sweden and via the Netherlands
alert,17/02/2006,,2006.0123,Denmark,food,"dietetic foods, food supplements, fortified foods",unsafe ingredient (saw palmetto) in food supplement from the United States via Norway,co,unsafe ingredient,saw palmetto,food supplement,the United States via Norway
information,14/02/2006,,2006.AKX,Greece,food,herbs and spices,unauthorised colour Sudan 1 (1 mg/kg - ppm) in sweet red pepper from Turkey,co,colour Sudan 1,1 mg/kg - ppm,sweet red pepper,Turkey
information,13/02/2006,,2006.AKK,Italy,food,"soups, broths, sauces and condiments",unauthorised colour Sudan 1 (0.01 mg/kg - ppm) in tomato sauce from Cuba,co,colour Sudan 1,0.01 mg/kg - ppm,tomato sauce,Cuba
alert,10/02/2006,,2006.0104,Germany,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market (25 %) of herbal tea containing Senna leaves from Poland,co,,25 %,unauthorised placing on the market (25 %) of herbal tea containing senna leaves,Poland
alert,07/02/2006,26/03/2010,2006.0096,Austria,food,herbs and spices,"unauthorised placing on the market of and unauthorised use of colour E 102 - tartrazine (presence), of colour E 122 - azorubine (presence) and of colour E 124 - Ponceau 4R / cochineal red A (presence) in spice mixture from India, via the United Kingdom",co,,presence,spices,"India, via the United Kingdom"
alert,03/02/2006,,2006.0089,Germany,food,fruits and vegetables,high content of iodine (10.7 mg/kg - ppm) in canned vegetable salad from the Russian Federation,co,iodine,10.7 mg/kg - ppm,canned vegetable salad,the Russian Federation
information,27/01/2006,,2006.AGX,Germany,food,herbs and spices,unauthorised colour Para Red (71.5 mg/kg - ppm) in spice mixture from the Russian Federation,co,colour Para Red,71.5 mg/kg - ppm,spices,the Russian Federation
information,27/01/2006,,2006.AGV,Germany,food,herbs and spices,unauthorised colour Para Red (6.3 mg/kg - ppm) in spice mixture from the Russian Federation,co,colour Para Red,6.3 mg/kg - ppm,spices,the Russian Federation
alert,27/01/2006,,2006.0076,Italy,food,meat and meat products (other than poultry),too high content of nitrate (318 mg/kg - ppm) in salami from Italy,co,nitrate,318 mg/kg - ppm,salami,Italy
information,26/01/2006,,2006.AGR,United Kingdom,food,herbs and spices,unauthorised colour Sudan 1 (576 mg/kg - ppm) in chilli powder from unknown origin,co,colour Sudan 1,576 mg/kg - ppm,chilli powder,unknown origin
information,26/01/2006,,2006.AGJ,Germany,food,herbs and spices,unauthorised colours Sudan 1 (159 mg/kg - ppm) and Para Red (positive) in spice mixture for chicken from the Russian Federation,co,colour Sudan 1,159 mg/kg - ppm,spice mixture for chicken,the Russian Federation
information,26/01/2006,,2006.AGI,Germany,food,herbs and spices,"unauthorised colour Para Red (120 mg/kg - ppm) in spice mixture for ""plov"" (Uzbek dish) from the Russian Federation",co,colour Para Red,120 mg/kg - ppm,"spice mixture for ""plov"" (uzbek dish)",the Russian Federation
alert,26/01/2006,,2006.0073,Belgium,food,fish and fish products,carbon monoxide treatment (2992 µg/kg - ppb) of frozen yellow tuna steaks from Indonesia via the Netherlands,co,,2992 µg/kg - ppb,frozen yellow tuna steaks,Indonesia via the Netherlands
information,17/01/2006,,2006.AEE,Czech Republic,food,herbs and spices,unauthorised colour Rhodamine B (9.3 mg/kg - ppm) in turmeric powder (curcuma) from Vietnam,co,colour Rhodamine B,9.3 mg/kg - ppm,turmeric powder (curcuma),Vietnam
information,16/01/2006,,2006.ADZ,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (13 mg/kg - ppm) in palm oil from Ghana,co,colour Sudan 4,13 mg/kg - ppm,palm oil,Ghana
information,13/01/2006,,2006.ADB,Germany,food,fats and oils,unauthorised colours Sudan 4 (130 µg/kg - ppb) and Sudan 7B (50 µg/kg - ppb) in palm oil from Ghana,co,colour Sudan 4,130 µg/kg - ppb,palm oil,Ghana
information,13/01/2006,,2006.ADA,Germany,food,fruits and vegetables,unauthorised colours Sudan 1 (20 µg/kg - ppb) and Sudan 4 (60 µg/kg - ppb) in paprika flakes from Turkey,co,colour Sudan 1,20 µg/kg - ppb,paprika flakes,Turkey
alert,13/01/2006,,2006.0039,Hungary,food,"nuts, nut products and seeds",high content of morphine (44 mg/kg - ppm) in poppy seed from the Slovak Republic,co,morphine,44 mg/kg - ppm,poppy seed,the Slovak Republic
information,12/01/2006,,2006.ACW,Finland,food,"dietetic foods, food supplements, fortified foods",benzethonium chloride (16.4 %) in grapefruit seed extract from the United States,co,benzethonium chloride,16.4 %,grapefruit seed extract,the United States
alert,12/01/2006,,2006.0035,Estonia,food,honey and royal jelly,too high content of hydroxymethylfurfural (HMF) (352.4 mg/kg - ppm) in honey from Hungary,co,hydroxymethylfurfural,HMF,honey,Hungary
alert,11/01/2006,,2006.0027,Austria,food,herbs and spices,unauthorised colours Sudan 1 (75.94 mg/kg - ppm) and Sudan 4 (21.42 mg/kg - ppm) in paprika powder from Germany,co,colour Sudan 1,75.94 mg/kg - ppm,paprika powder,Germany
alert,10/01/2006,,2006.0024,Germany,food,"nuts, nut products and seeds",high content of morphine (200 mg/kg - ppm) in poppy seed from the Netherlands,co,morphine,200 mg/kg - ppm,poppy seed,the Netherlands
information,09/01/2006,07/03/2008,2006.ABU,Norway,food,herbs and spices,unauthorised colours Sudan 1 (3.5 mg/kg - ppm) and Sudan 4 (0.18 mg/kg - ppm) in paprika powder from Turkey,co,colour Sudan 1,3.5 mg/kg - ppm,paprika powder,Turkey
information,04/01/2006,,2006.AAP,Norway,food,herbs and spices,unauthorised colours Sudan 1 (0.90 mg/kg - ppm) and Sudan 4 (0.03 mg/kg - ppm) in herbs for pizza and chicken from Turkey,co,colour Sudan 1,0.90 mg/kg - ppm,herbs for pizza and chicken,Turkey
information,03/01/2006,,2006.AAM,Norway,food,herbs and spices,unauthorised colour Sudan 1 (0.59 mg/kg - ppm) in spice mixture from India via the United Kingdom,co,colour Sudan 1,0.59 mg/kg - ppm,spices,India via the United Kingdom
information,03/01/2006,,2006.AAJ,Norway,food,herbs and spices,unauthorised colours Sudan 1 (4.2 mg/kg - ppm) and Sudan 4 (9.5 mg/kg - ppm) in chilli powder from Turkey,co,colour Sudan 1,4.2 mg/kg - ppm,chilli powder,Turkey
information,03/01/2006,,2006.AAD,Italy,food,fish and fish products,carbon monoxide treatment (presence) of fresh tuna loins from Ecuador via the Netherlands,co,,presence,fresh tuna loin,Ecuador via the Netherlands
alert,03/01/2006,,2006.0010,Norway,food,herbs and spices,unauthorised colour Sudan 1 (240; 50 µg/kg - ppb) in curry powder hot/mild madras from India via the United Kingdom,co,colour Sudan 1,240; 50 µg/kg - ppb,curry powder hot/mild madras,India via the United Kingdom
alert,03/01/2006,,2006.0008,Germany,food,cereals and bakery products,unauthorised colour Sudan 1 (1.2 mg/kg - ppm) in pasta with spices from Italy,co,colour Sudan 1,1.2 mg/kg - ppm,pasta with spices,Italy
alert,03/01/2006,,2006.0005,Norway,food,herbs and spices,unauthorised colours Sudan 1 (1.20 mg/kg - ppm) and Sudan 4 (0.18 mg/kg - ppm) in mild curry powder from unknown origin,co,colour Sudan 1,1.20 mg/kg - ppm,mild curry powder,unknown origin
alert,02/01/2006,,2006.0002,Norway,food,herbs and spices,unauthorised colour Sudan 4 (18 mg/kg - ppm) in Nihari masala mix from Pakistan,co,colour Sudan 4,18 mg/kg - ppm,nihari masala mix,Pakistan
alert,30/12/2005,,2005.980,Italy,food,fish and fish products,carbon monoxide treatment of vacuum packed frozen tuna (Thunnus albacares) from Costa Rica via Spain,co,,Thunnus albacares,vacuum packed frozen tuna (thunnus albacares),Costa Rica via Spain
alert,29/12/2005,,2005.977,Germany,food,fruits and vegetables,unauthorised colour red yeast rice (Angkak) (presence) in red beancurd (tofu) from China via France and via the Netherlands,co,colour red yeast rice,Angkak,red beancurd (tofu),China via France and via the Netherlands
alert,29/12/2005,,2005.975,Italy,food,fish and fish products,histamine (101 mg/kg - ppm) in and carbon monoxide treatment (Presence) of vacuum packed frozen tuna loins from Costa Rica via Spain,co,histamine,101 mg/kg - ppm,and carbon monoxide treatment (presence) of vacuum packed frozen tuna loins,Costa Rica via Spain
information,28/12/2005,,2005.DHV,Hungary,food,"nuts, nut products and seeds",high content of morphine (44.4 mg/kg - ppm) in poppy seed from Hungary,co,morphine,44.4 mg/kg - ppm,poppy seed,Hungary
alert,23/12/2005,,2005.971,Germany,food,fruits and vegetables,high content of iodine (160; 175 mg/kg - ppm) in dried seaweed from Japan,co,iodine,160; 175 mg/kg - ppm,dried seaweed,Japan
information,22/12/2005,,2005.DGQ,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (8; 11 mg/kg - ppm) in palm oil from Nigeria,co,colour Sudan 4,8; 11 mg/kg - ppm,palm oil,Nigeria
