,classification,date_case,date_last_change,reference,country,type,category,subject
436,border rejection,08/02/2012,16/03/2012,2012.AJK,Italy,food,"nuts, nut products and seeds",sulphite (653 mg/kg - ppm) unauthorised in sweet apricot kernels from Turkey
437,border rejection,25/01/2012,21/03/2012,2012.AFX,Cyprus,food,cereals and bakery products,unauthorised use of colour E 143 - fast green FCF / FD&C green in colored tapioca pearls from the Philippines
438,border rejection,24/01/2012,05/03/2012,2012.AFI,Italy,food,fish and fish products,unauthorised use of colour E 122 - azorubine and of colour E 124 - Ponceau 4R / cochineal red A in frozen squid and shrimp skewers from India
439,border rejection,19/01/2012,14/08/2015,2012.AEJ,France,food,herbs and spices,"methamidophos (0.27 mg/kg - ppm), triazophos (38 mg/kg - ppm), bifenthrin (5.3 mg/kg - ppm), acetamiprid (11 mg/kg - ppm) and diethion (10.2 mg/kg - ppm), sulphite (0.029 mg/kg - ppm) unauthorised and unauthorised substances acephate (1.8 mg/kg - ppm) and profenofos (19 mg/kg - ppm) in curry leaves from India"
440,border rejection,19/01/2012,07/01/2015,2012.AEN,Spain,food,fruits and vegetables,too high content of sulphite (2247 mg/kg - ppm) in dried apricots from Turkey
441,border rejection,18/01/2012,18/01/2012,2012.AEA,Finland,food,herbs and spices,unauthorised use of colour E 160b - annato/bixin/norbixin in popcorn seasoning from the United States
442,information for follow-up,17/01/2012,02/02/2012,2012.0090,Denmark,food,fish and fish products,unauthorised addition of phosphate (2.6 g/kg) in chilled plaice fillets from the Netherlands
443,border rejection,17/01/2012,17/01/2012,2012.ADM,Finland,food,non-alcoholic beverages,too high content of E 211 - sodium benzoate (285; 265; 280 mg/l) in energy drink from the United States
444,information for follow-up,16/01/2012,07/01/2015,2012.0080,Finland,food,fruits and vegetables,too high content of sulphite (2710 mg/kg - ppm) in dried apricots from Lithuania
445,information for follow-up,16/01/2012,07/01/2015,2012.0077,Finland,food,fruits and vegetables,"too high content of sulphite (peach: 2130; pear: 540 mg/kg - ppm) in dried candied fruits mix from Lithuania, with raw material from China"
446,information for follow-up,16/01/2012,11/07/2012,2012.0088,Germany,food,fruits and vegetables,unauthorised use of colour E 102 - tartrazine in pickeled cabbage from the Netherlands
447,information for follow-up,16/01/2012,23/01/2012,2012.0079,United Kingdom,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (280 mg/kg - ppm) in frozen ice pop drink from Poland
448,information for follow-up,13/01/2012,07/01/2015,2012.0075,Finland,food,fruits and vegetables,too high content of sulphite (peach: 103; pear: 520 mg/kg - ppm) in dried candied fruit mix from Germany
449,information for follow-up,13/01/2012,07/01/2015,2012.0070,Finland,food,fruits and vegetables,too high content of sulphite (pear:490 mg/kg - ppm) in dried fruits mix from the Netherlands
450,information for follow-up,13/01/2012,07/01/2015,2012.0069,Finland,food,fruits and vegetables,too high content of sulphite (peach:1270; pear:545 mg/kg - ppm) in dried candied fruits mix from Germany
451,alert,13/01/2012,17/02/2012,2012.0072,Italy,food,non-alcoholic beverages,"undeclared sulphite (39 mg/l) in coconut juice with pulp from Thailand, via Italy"
452,information for attention,11/01/2012,13/01/2012,2012.0059,Italy,food,fish and fish products,undeclared sulphite (268 mg/kg - ppm) in frozen blanched headless shrimps from India
453,information for follow-up,10/01/2012,17/01/2012,2012.0043,Romania,food,fruits and vegetables,"E 210 - benzoic acid (313.07 mg/kg - ppm) unauthorised in tomato paste from Bulgaria, via the Netherlands"
454,border rejection,05/01/2012,05/01/2012,2012.AAK,Greece,food,fruits and vegetables,E 210 - benzoic acid (720.2 mg/kg - ppm) unauthorised in maraschino cherries from the United States
455,information for follow-up,04/01/2012,07/01/2015,2012.0010,Finland,food,fruits and vegetables,too high content of sulphite (peach: 1430; pear: 785 mg/kg - ppm) in dried and candied fruit mix from Germany
456,information for follow-up,28/12/2011,07/01/2015,2011.1937,Finland,food,fruits and vegetables,too high content of sulphite (peach: 2380; pear: 450 mg/kg - ppm) in dried fruit mix from the Netherlands
457,information for follow-up,28/12/2011,07/01/2015,2011.1936,Finland,food,fruits and vegetables,"too high content of sulphite (300 mg/kg - ppm) in dried candied mango slices from the Philippines, via the Netherlands"
458,border rejection,23/12/2011,23/12/2011,2011.CSZ,Cyprus,food,confectionery,unauthorised use of colour E 127 - erythrosine in sprinkles from the United States
459,border rejection,23/12/2011,23/12/2011,2011.CSY,Cyprus,food,confectionery,unauthorised use of colour E 143 - fast green FCF / FD&C green in silver colour for cake decorations from the United States
460,information for follow-up,22/12/2011,07/01/2015,2011.1903,Czech Republic,food,fruits and vegetables,"too high content of sulphite (2630 mg/kg - ppm) in dried raisins from Chile, via the Netherlands"
461,information for attention,16/12/2011,21/12/2011,2011.1859,Germany,food,crustaceans and products thereof,unauthorised use of colour E 124 - Ponceau 4R / cochineal red A in dried shrimps from Thailand
462,alert,16/12/2011,20/12/2011,2011.1863,Denmark,food,non-alcoholic beverages,unauthorised substance ephedrine and high content of caffeine (180 mg/item) in iced fruit tea from Hong Kong
463,border rejection,15/12/2011,09/02/2012,2011.CQZ,Poland,food,herbs and spices,unauthorised use of colour E 160b - annato/bixin/norbixin in curry powder from Vietnam
464,information for follow-up,14/12/2011,30/01/2012,2011.1848,Denmark,food,"nuts, nut products and seeds","sulphite unauthorised in coconut cream from Thailand, via Sweden"
465,border rejection,14/12/2011,22/12/2011,2011.CQT,Greece,food,confectionery,"too high content of sum of colours E 102 - tartrazine (399.4 mg/kg - ppm), of colour E 129 - Allura Red AC (21.1 mg/kg - ppm) and of colour E 133 - Brilliant Blue FCF (312.2 mg/kg - ppm) in sprinkle mix from China, via the United States"
466,information for attention,09/12/2011,12/12/2011,2011.1814,Germany,food,cereals and bakery products,unauthorised use of colour E 122 - azorubine (present) in noodles from Germany
467,information for attention,08/12/2011,27/03/2012,2011.1803,Ireland,food,confectionery,"undeclared colour (undeclared ""Southampton"" colours with absence of required health warning) in fruit flavoured sweets from Hong Kong"
468,information for follow-up,08/12/2011,08/12/2011,2011.1798,Poland,food,confectionery,"unauthorised use of colour E 123 - amaranth (52 mg/kg - ppm) in lollipop from Turkey, via Poland"
469,information for follow-up,07/12/2011,03/01/2012,2011.1788,Slovakia,food,fruits and vegetables,"too high content of E 200 - sorbic acid (1374 mg/kg - ppm) in dried plums from Chile, packaged in Slovakia, via the Czech Republic"
470,information for follow-up,02/12/2011,19/01/2012,2011.1764,United Kingdom,food,alcoholic beverages,undeclared sulphite in wine from Italy
471,border rejection,02/12/2011,02/12/2011,2011.CNX,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (345 mg/l) in energy drink from the United States
472,information for follow-up,01/12/2011,13/12/2011,2011.1760,United Kingdom,food,alcoholic beverages,undeclared sulphite in wine from France
473,information for attention,01/12/2011,08/12/2011,2011.1750,United Kingdom,food,wine,undeclared sulphite in wine from Italy
474,information for follow-up,30/11/2011,07/01/2015,2011.1741,Finland,food,fruits and vegetables,too high content of sulphite (710 (pear); 1130 (peach) mg/kg - ppm) in dried and candied fruit mix from the Netherlands
475,information for attention,29/11/2011,29/11/2011,2011.1734,United Kingdom,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (210 mg/kg - ppm) in soda flavoured soft drink from Canada
476,information for follow-up,28/11/2011,04/01/2012,2011.1727,Denmark,food,meat and meat products (other than poultry),too high content of E 250 - sodium nitrite (400 mg/kg - ppm) in bresaola from Italy
477,border rejection,25/11/2011,07/01/2015,2011.CLZ,Greece,food,fruits and vegetables,too high content of sulphite (2696 mg/kg - ppm) in sun dried tomatoes from Turkey
478,information for follow-up,21/11/2011,24/11/2011,2011.1682,Denmark,food,"nuts, nut products and seeds",sulphite unauthorised in canned coconut milk from Thailand
479,information for attention,14/11/2011,26/11/2012,2011.1637,Sweden,food,cereals and bakery products,"unauthorised food additive E 926 - chlorine dioxide in precooked Japanese noodles from China, via Hong Kong"
480,border rejection,14/11/2011,10/01/2012,2011.CIZ,Spain,food,cereals and bakery products,too high content of colour E 110 - Sunset Yellow FCF (122 mg/kg - ppm) in cookies from Colombia
481,border rejection,14/11/2011,10/01/2012,2011.CIY,Spain,food,cereals and bakery products,too high content of colour E 110 - Sunset Yellow FCF (122 mg/kg - ppm) in cookies from Colombia
482,information for attention,09/11/2011,18/11/2011,2011.1607,Poland,food,confectionery,too high content of colour E 122 - azorubine (71 mg/kg dry matter) and of colour E 124 - Ponceau 4R / cochineal red A (84 mg/kg dry matter) in candy from Poland
483,alert,08/11/2011,18/11/2011,2011.1591,Luxembourg,food,alcoholic beverages,undeclared sulphite (108 mg/l) in apple cider from Belgium
484,information for follow-up,04/11/2011,02/01/2012,2011.1569,Slovakia,food,fruits and vegetables,too high content of E 200 - sorbic acid (1146 mg/kg - ppm) in dried prunes packaged in France
485,information for follow-up,03/11/2011,03/11/2011,2011.1552,Germany,food,"dietetic foods, food supplements, fortified foods","high content of caffeine and insufficient labelling of dietary food supplement from the United States, via the Netherlands"
486,information for follow-up,25/10/2011,07/01/2015,2011.1500,Italy,food,crustaceans and products thereof,too high content of sulphite (241 mg/kg - ppm) in frozen shrimps from Tunisia
487,border rejection,24/10/2011,07/01/2015,2011.CDR,Greece,food,fruits and vegetables,too high content of sulphite (211 mg/kg - ppm) in gherkins in brine from India
488,border rejection,21/10/2011,24/10/2011,2011.CDH,Cyprus,food,cereals and bakery products,unauthorised use of colour E 153 - vegetable carbon in chocolate flavoured cereals from Lebanon
489,border rejection,20/10/2011,21/10/2011,2011.CCZ,Cyprus,food,cereals and bakery products,"unauthorised use of colour E 102 - tartrazine, of colour E 110 - Sunset Yellow FCF, of colour E 129 - Allura Red AC and of colour E 133 - Brilliant Blue FCF in fruits flavoured cereals from Lebanon"
490,information for attention,19/10/2011,19/10/2011,2011.1462,Czech Republic,food,fruits and vegetables,undeclared sulphite (33 mg/kg - ppm) in candied kiwi from China
491,information for follow-up,18/10/2011,17/01/2012,2011.1454,Denmark,food,fish and fish products,unauthorised addition of phosphate (0.31 %) in chilled plaice fillets from the Netherlands
492,information for follow-up,18/10/2011,06/01/2012,2011.1451,Denmark,food,confectionery,too high content of E 1520 - propylene glycol (13g /kg) in cocoa cake from Spain
493,information for follow-up,13/10/2011,07/01/2015,2011.1416,Finland,food,fruits and vegetables,"too high content of sulphite (280 mg/kg - ppm) in dried candied mango slices from the Philippines, via the Netherlands"
494,information for follow-up,13/10/2011,13/10/2011,2011.1417,Finland,food,non-alcoholic beverages,"unauthorised use of colour E 143 - fast green FCF / FD&C green in soft drinks from Thailand, via the Netherlands"
495,border rejection,10/10/2011,10/10/2011,2011.CAG,Spain,food,"soups, broths, sauces and condiments",too high content of E 210 - benzoic acid (1316 mg/l) in sauces from the Philippines
496,information for attention,30/09/2011,09/01/2015,2011.BYN,Italy,food,crustaceans and products thereof,too high content of sulphite (819 mg/kg - ppm) in parapenaeus longirostris from Tunisia
497,information for attention,27/09/2011,06/12/2011,2011.1315,Italy,food,crustaceans and products thereof,undeclared sulphite (47 mg/kg - ppm) in cooked lobsters (Palinurus argus) from Cuba
498,alert,23/09/2011,26/09/2011,2011.1301,Germany,food,cereals and bakery products,high content of aluminium (287 mg/kg - ppm) and unauthorised use of colour E 102 - tartrazine (positive) and of colour E 110 - Sunset Yellow FCF (positive) in glass noodles from Vietnam
499,information for follow-up,19/09/2011,26/10/2011,2011.1275,Slovenia,food,confectionery,unauthorised use of colour E 127 - erythrosine (82 mg/kg - ppm) in cake decoration from Hungary
500,information for follow-up,16/09/2011,06/01/2012,2011.1270,Denmark,food,confectionery,too high content of E 1520 - propylene glycol (14 g/kg) in apple cake from Spain
501,information for attention,15/09/2011,26/02/2014,2011.1260,Czech Republic,food,fruits and vegetables,too high content of E 200 - sorbic acid (1720 mg/kg - ppm) in dried pitted plums from Chile
502,information for attention,09/09/2011,07/01/2015,2011.1233,Poland,food,fruits and vegetables,too high content of sulphite (>4000 mg/kg - ppm) in dried apricots from China
503,information for attention,07/09/2011,07/09/2011,2011.1217,Poland,food,fruits and vegetables,too high content of E 200 - sorbic acid (1252 mg/kg dry matter) in dried plums from Chile
504,information for attention,05/09/2011,18/11/2011,2011.1200,Italy,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (174 mg/l) in guarana soft drink from Portugal
505,border rejection,05/09/2011,18/10/2011,2011.BTY,Cyprus,food,confectionery,unauthorised use of colour E 127 - erythrosine in jelly drops from South Africa
506,information for follow-up,02/09/2011,14/10/2011,2011.1193,Slovakia,food,non-alcoholic beverages,"too high content of sweetener E 952 - cyclamate (399.61 mg/kg - ppm) in lemon flavoured drink from Turkey, via Hungary, via the Czech Republic and via Slovakia"
507,border rejection,29/08/2011,29/08/2011,2011.BTE,Lithuania,food,confectionery,"too high content of sweetener E 950 - acesulfame k (3320,7 mg/kg - ppm) in peppermint mints from Canada"
508,information for attention,24/08/2011,07/01/2015,2011.1149,Spain,food,crustaceans and products thereof,too high content of sulphite (392 mg/kg - ppm) in frozen raw shrimps from Senegal
509,border rejection,22/08/2011,18/12/2012,2011.BSD,Finland,food,fruits and vegetables,too high content of E 210 - benzoic acid (790) and of E 200 - sorbic acid (750; SA+BA = 1540 mg/kg - ppm) in sugar free raspberry fruit spread from the United States
510,border rejection,22/08/2011,22/08/2011,2011.BSB,Finland,food,fruits and vegetables,E 210 - benzoic acid (860 mg/l) unauthorised in raspberry syrup from the United States
511,border rejection,19/08/2011,19/08/2011,2011.BRL,Greece,food,non-alcoholic beverages,E 210 - benzoic acid (94.8 mg/l) unauthorised in natural coconut water and natural coconut water with fruit from Brazil
512,border rejection,18/08/2011,18/08/2011,2011.BRG,United Kingdom,food,confectionery,unauthorised use of colour E 127 - erythrosine (17 mg/kg - ppm) in sugar coated fennel seeds from India
513,information for attention,12/08/2011,12/08/2011,2011.1100,Cyprus,food,non-alcoholic beverages,too high content of colour E 124 - Ponceau 4R / cochineal red A (97 mg/l) in strawberry drink from Australia
514,border rejection,09/08/2011,07/01/2015,2011.BPT,Spain,food,crustaceans and products thereof,too high content of sulphite (219 mg/kg - ppm) in chilled prawn tails from Mozambique
515,information for attention,09/08/2011,10/08/2011,2011.1073,Italy,food,fish and fish products,E 452 - polyphosphates (9.32 g/kg) unauthorised in chilled fillets of plaice (Pleuronectes platessa) from the Netherlands
516,information for follow-up,08/08/2011,22/11/2011,2011.1069,Finland,food,"soups, broths, sauces and condiments","too high content of E 210 - benzoic acid (1950 mg/l) in fish sauce from the Philippines, via the Netherlands"
517,border rejection,08/08/2011,28/09/2011,2011.BPQ,Greece,food,confectionery,too high content of colour E 124 - Ponceau 4R / cochineal red A (66.5 mg/kg - ppm) in chewing gum balls from Brazil
518,border rejection,08/08/2011,28/09/2011,2011.BPN,Greece,food,confectionery,unauthorised use of colour E 127 - erythrosine (3.7 mg/kg - ppm) in bubble gum from Brazil
519,information for attention,04/08/2011,04/08/2011,2011.1051,Italy,food,fish and fish products,E 452 - polyphosphates (6.28 g/kg) unauthorised in chilled plaice fillets from the Netherlands
520,border rejection,03/08/2011,15/11/2011,2011.BOY,Czech Republic,food,confectionery,too high content of colour E 110 - Sunset Yellow FCF (68.1 mg/kg - ppm) in jelly bean candies from China
521,alert,28/07/2011,03/08/2011,2011.1025,Germany,food,herbs and spices,unauthorised colour Rhodamine B (presence) and unauthorised use of colour E 100 - Curcumin (presence) in minced red annatto seed from Vietnam
522,alert,26/07/2011,03/09/2012,2011.1014,Greece,food,confectionery,"undeclared sulphite (29 mg/kg - ppm) in glucose syrup from Bulgaria, packaged in Greece"
523,alert,22/07/2011,03/11/2011,2011.0994,Norway,food,"dietetic foods, food supplements, fortified foods","high content of caffeine (360 mg/item) in food supplement from the United States, via Sweden"
524,information for follow-up,15/07/2011,16/01/2012,2011.0959,Italy,food,fish and fish products,unauthorised addition of phosphate (2.66 g/kg) in chilled plaice fillets (Pleuronectes platessa) from the Netherlands
525,information for follow-up,14/07/2011,16/01/2012,2011.0950,Italy,food,fish and fish products,too high content of E 452 - polyphosphates (11.09 g/kg) and of phosphate in frozen plaice fillets from the Netherlands
526,information for attention,12/07/2011,22/07/2011,2011.0937,United Kingdom,food,bivalve molluscs and products thereof,E 450 - diphosphate (5.78 g/kg) unauthorised in chilled sea scallops from the United States
527,information for follow-up,12/07/2011,12/07/2011,2011.0932,Italy,food,crustaceans and products thereof,too high content of E 210 - benzoic acid (2506 mg/kg - ppm) and of E 200 - sorbic acid (1021 mg/kg - ppm) in chilled shrimps from the Netherlands
528,alert,08/07/2011,29/09/2011,2011.0912,Italy,food,crustaceans and products thereof,undeclared sulphite (30 mg/kg - ppm) in frozen prawns from Spain
529,information for attention,08/07/2011,12/07/2011,2011.0918,United Kingdom,food,bivalve molluscs and products thereof,E 450 - diphosphate (4410 mg/kg - ppm) unauthorised in chilled sea scallops from the United States
530,information for attention,08/07/2011,08/07/2011,2011.0913,United Kingdom,food,bivalve molluscs and products thereof,E 450 - diphosphate (3560 mg/kg - ppm) unauthorised in chilled sea scallops from the United States
531,border rejection,05/07/2011,07/01/2015,2011.BKG,Finland,food,fruits and vegetables,too high content of sulphite (695 mg/kg - ppm) in green olives stuffed with sundried tomatoes from Turkey
532,border rejection,05/07/2011,05/07/2011,2011.BKI,Finland,food,"soups, broths, sauces and condiments",too high content of the sum of E 210 - benzoic acid and of E 200 - sorbic acid (1225 mg/kg - ppm) in black olive paste from Turkey
533,information for attention,04/07/2011,07/01/2015,2011.0888,Italy,food,crustaceans and products thereof,too high content of sulphite (414; 435; 556 mg/kg - ppm) in frozen peeled rose shrimps from Tunisia
534,information for attention,01/07/2011,01/07/2011,2011.0867,United Kingdom,food,bivalve molluscs and products thereof,E 450 - diphosphate and E 451 - triphosphate unauthorised in chilled sea scallops (Placopectin magellanicus) from the United States
535,alert,24/06/2011,30/06/2011,2011.0832,Cyprus,food,cereals and bakery products,undeclared sulphite (41 mg/kg - ppm) in salty crackers from Italy
536,alert,20/06/2011,02/09/2011,2011.0802,Malta,food,meat and meat products (other than poultry),unauthorised colour E 128 - Red 2G in sausages from the United Kingdom
537,information for follow-up,10/06/2011,28/07/2011,2011.0768,United Kingdom,food,other food product / mixed,undeclared sulphite (name of allergen not in full on the label) in wine enrichers and red and white grape juice from Spain
538,border rejection,09/06/2011,08/07/2011,2011.BHG,Cyprus,food,confectionery,unauthorised use of colour E 127 - erythrosine in jelly sweets from South Africa
539,information for follow-up,08/06/2011,20/07/2011,2011.0756,Greece,food,cereals and bakery products,sweetener E 955 - sucralose unauthorised in almond biscuits from Belgium
540,alert,06/06/2011,13/07/2011,2011.0747,Slovakia,food,fruits and vegetables,"undeclared sulphite (21 mg/kg - ppm) in sliced mushrooms in brine from the Czech Republic, with raw material from China"
541,information for follow-up,01/06/2011,01/06/2011,2011.0733,Italy,food,fish and fish products,"unauthorised use of colour E 120 - carmines in frozen vacuum packed preparation of tuna from Sri Lanka, via the Netherlands"
542,border rejection,01/06/2011,01/06/2011,2011.BFS,Slovakia,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (474.89 mg/kg - ppm) in energy drink from South Korea
543,information for follow-up,31/05/2011,01/06/2011,2011.0713,Cyprus,food,"dietetic foods, food supplements, fortified foods","unauthorised use of colour E 127 - erythrosine in food supplement from the United States, via the Netherlands"
544,border rejection,27/05/2011,27/05/2011,2011.BFA,Italy,food,confectionery,suffocation risk as a result of the consumption of and E 407 - carrageenan unauthorised in mixed fruit jelly from China
545,information for follow-up,24/05/2011,07/01/2015,2011.0680,Czech Republic,food,fruits and vegetables,"too high content of sulphite (370 mg/kg - ppm) in candied pears from China, via the Netherlands"
546,information for follow-up,24/05/2011,23/08/2011,2011.0690,Cyprus,food,"dietetic foods, food supplements, fortified foods",unauthorised use of colour E 127 - erythrosine in training supplement from the United States
547,information for follow-up,18/05/2011,19/05/2011,2011.0660,Cyprus,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Epimedium and unauthorised use of colour E 127 - erythrosine in food supplement from the United States, via the Netherlands"
548,border rejection,13/05/2011,11/09/2012,2011.BBN,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (735; 325; 320 mg/l) in soft drinks from the United States
549,information for attention,13/05/2011,23/05/2011,2011.0633,Romania,food,confectionery,"E 210 - benzoic acid (604.84; 593,02; 700.32; 451,91 mg/kg - ppm) unauthorised in fruit jams from Turkey"
550,border rejection,12/05/2011,18/05/2011,2011.BBJ,Italy,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (434 mg/kg - ppm) in soft drink from the Philippines
551,border rejection,05/05/2011,12/02/2013,2011.AZP,Italy,food,crustaceans and products thereof,unauthorised E 541 - sodium aluminium phosphate in frozen breaded raw shrimps from Ecuador
552,border rejection,03/05/2011,03/05/2011,2011.AZJ,Ireland,food,confectionery,E 425 - konjac (presence) unauthorised in jelly mini cups from China
553,border rejection,28/04/2011,28/04/2011,2011.AYR,Finland,food,confectionery,too high content of sweetener E 950 - acesulfame k (3800; 3780 mg/kg - ppm) in sugar free peppermint candy from Canada
554,information for follow-up,26/04/2011,26/04/2011,2011.0546,Italy,food,fish and fish products,"E 407 - carrageenan, E 451 - triphosphate and E 415 - xanthan gum unauthorised in chilled fish fillets from the Netherlands"
555,border rejection,20/04/2011,26/04/2011,2011.AXH,Italy,food,other food product / mixed,"too high content of colour E 120 - carmines (114,9 mg/kg dry matter) in soluble preparation for green tea and forest fruits flavoured soft drinks from Thailand"
556,information for follow-up,19/04/2011,20/09/2011,2011.0520,Estonia,food,fruits and vegetables,"too high content of E 200 - sorbic acid (1390 mg/kg - ppm) in pitted prunes from Chile, via Lithuania"
557,border rejection,19/04/2011,19/04/2011,2011.AWS,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (320 mg/l) in soft drink from the United States
558,border rejection,14/04/2011,12/02/2013,2011.AVH,Italy,food,crustaceans and products thereof,unauthorised E 541 - sodium aluminium phosphate in frozen headless breaded raw shrimps from Ecuador
559,information for attention,14/04/2011,14/04/2011,2011.0492,Greece,food,crustaceans and products thereof,undeclared sulphite (81.00 mg/kg - ppm) in cooked peeled black tiger shrimps from Vietnam
560,information for attention,14/04/2011,14/04/2011,2011.0493,Greece,food,prepared dishes and snacks,undeclared sulphite in baked yellow lentils from Greece
561,information for follow-up,12/04/2011,06/05/2011,2011.0480,Italy,food,crustaceans and products thereof,too high content of the sum of E 210 - benzoic acid and of E 200 - sorbic acid (3373 mg/kg - ppm) in precooked shrimps manufactured in the Netherlands
562,information for follow-up,11/04/2011,15/04/2011,2011.0470,Belgium,food,"dietetic foods, food supplements, fortified foods",E 218 - methyl-p-hydroxybenzoate unauthorised in food supplement from the Netherlands
563,border rejection,07/04/2011,07/01/2015,2011.AUF,Greece,food,confectionery,"too high content of sulphite (687,10 mg/kg - ppm) in glazed apricots from Syria"
564,information for attention,07/04/2011,07/04/2011,2011.0456,Greece,food,confectionery,undeclared colour E 122 - azorubine (17.0 mg/kg - ppm) in lollipops from Turkey
565,information for attention,07/04/2011,07/04/2011,2011.0455,Greece,food,confectionery,"undeclared colour E 102 - tartrazine (35.8; 17.7 mg/kg - ppm), colour E 110 - Sunset Yellow FCF (52.1 mg/kg - ppm) and colour E 122 - azorubine (17.0 mg/kg - ppm) in lollipops from Turkey"
566,border rejection,31/03/2011,05/05/2011,2011.ASU,Lithuania,food,confectionery,"sweetener E 950 - acesulfame k (3002.9 mg/kg - ppm), sweetener E 951 - aspartame (1416.8 mg/kg - ppm) and sweetener E 952 - cyclamate (12455 mg/kg - ppm) unauthorised in candy from China"
567,information for attention,30/03/2011,07/01/2015,2011.0425,Denmark,food,herbs and spices,too high content of sulphite (58 mg/kg - ppm) and undeclared sulphite in preserved ginger nuts in syrup from China
568,border rejection,22/03/2011,11/04/2011,2011.AQE,Lithuania,food,non-alcoholic beverages,too high content of undeclared sweetener E 952 - cyclamate (672.1 mg/kg - ppm) and undeclared sweetener E 954 - saccharin (83.5 mg/kg - ppm) in spray candy from China
569,information for follow-up,18/03/2011,19/05/2011,2011.0359,Finland,food,"soups, broths, sauces and condiments",sulphite (55; 98 mg/l) unauthorised in vinegar sauces from France
570,information for follow-up,17/03/2011,04/05/2011,2011.0351,Czech Republic,food,confectionery,"too high content of total colour (415 mg/kg - ppm), of colour E 110 - Sunset Yellow FCF (61.4 mg/kg - ppm) and of colour E 122 - azorubine (60.3 mg/kg - ppm), undeclared colours (E 122; E 124; E 131; E 132; E 155) in strawberry and cream flavoured candy floss from Poland"
571,alert,17/03/2011,24/03/2011,2011.0348,Estonia,food,"soups, broths, sauces and condiments",undeclared sulphite (33 mg/kg - ppm) in chopped horseradish with citric acid from Poland
572,border rejection,16/03/2011,21/07/2011,2011.APE,Spain,food,confectionery,too high content of colour E 122 - azorubine (57.5 mg/kg - ppm) in sweets from Turkey
573,information for attention,15/03/2011,17/05/2011,2011.0337,United Kingdom,food,fish and fish products,carbon monoxide treatment (1.0 mg/kg - ppm) of and unauthorised use of colour E 120 - carmines (presence mg/kg - ppm) in tuna loins from Spain
574,alert,15/03/2011,28/03/2011,2011.0335,Sweden,food,crustaceans and products thereof,"undeclared sulphite (E 223) in crab products from Vietnam, via Sweden"
575,border rejection,11/03/2011,07/01/2015,2011.AOK,Finland,food,fruits and vegetables,too high content of sulphite (255; 245; 230; 160 mg/kg - ppm) in dried candied fruits from Thailand
576,border rejection,09/03/2011,10/03/2011,2011.ANT,Italy,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (235 mg/l) in orange flavour soft drink from China
577,information for attention,07/03/2011,08/03/2011,2011.0295,Italy,food,crustaceans and products thereof,"undeclared sulphite (87 mg/kg - ppm) in Indian white prawns (Penaeus indicus) from India, via Germany"
578,border rejection,07/03/2011,07/03/2011,2011.ANB,United Kingdom,food,cereals and bakery products,high content of aluminium (22 mg/kg - ppm) and unauthorised use of colour E 102 - tartrazine (1 mg/kg - ppm) in quick cooking noodles from China
579,border rejection,02/03/2011,26/09/2012,2011.AMG,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (440; 600 mg/l) in soft drink in cans from the United States
580,information for attention,01/03/2011,07/01/2015,2011.0273,Finland,food,fruits and vegetables,too high content of sulphite (15 mg/kg - ppm) in fresh lychees from Madagascar
581,border rejection,01/03/2011,01/03/2011,2011.AMC,Lithuania,food,"soups, broths, sauces and condiments",unauthorised use of colour E 150a - plain caramel in barbecue sauce from China
582,border rejection,23/02/2011,23/02/2011,2011.ALE,Italy,food,"soups, broths, sauces and condiments",too high content of E 210 - benzoic acid (1560 mg/kg - ppm) in green chilli sauce from India
583,border rejection,18/02/2011,18/02/2011,2011.AKE,Italy,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (194 mg/l) in orange juice drink from China
584,information,14/02/2011,15/02/2011,2011.0183,Germany,food,fruits and vegetables,"E 210 - benzoic acid unauthorised in palm sugar from Thailand, via the Netherlands"
585,information for attention,09/02/2011,02/07/2012,2011.0158,Denmark,food,fruits and vegetables,undeclared sulphite in pickled garlic from Thailand
586,border rejection,09/02/2011,25/03/2011,2011.AHO,Lithuania,food,herbs and spices,unauthorised use of colour E 127 - erythrosine in mixed spices from South Africa
587,information for follow-up,28/01/2011,09/12/2011,2011.0117,France,food,meat and meat products (other than poultry),too high content of colour E 120 - carmines (356 mg/kg - ppm) and undeclared soya (on ingredient list) in smoked horse sausage from Belgium
588,border rejection,25/01/2011,31/01/2011,2011.ADZ,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (300 mg/l) in grape soft drink from China
589,border rejection,24/01/2011,24/01/2011,2011.ADJ,Czech Republic,food,confectionery,E 425 - konjac unauthorised in jelly mini cups from Vietnam
590,border rejection,21/01/2011,21/01/2011,2011.ADC,Finland,food,"dietetic foods, food supplements, fortified foods",unauthorised use of colour E 123 - amaranth in food supplement for increased fat burn from China
